"id","mz","rt","annotation"
"M311.26T1103.98",311.2565,1103.98,""
"M555.35T1108.39",555.3508,1108.39,""
"M387.31T1109.17",387.3115,1109.17,""
"M577.33T1107.35",577.331,1107.35,""
"M1087.71T1109.95",1087.712,1109.95,""
"M487.36T1112.82",487.3602,1112.82,""
"M443.34T1115.66",443.3351,1115.66,""
"M399.31T1118.65",399.3089,1118.65,""
"M355.28T1117.75",355.2825,1117.75,""
"M99.51T1121.65",99.5125,1121.65,""
"M124.09T1369.75",124.0871,1369.75,""
"M328.26T1127.63",328.2637,1127.63,""
"M533.29T1139.9",533.2856,1139.9,""
"M729.44T1131.57",729.4401,1131.57,""
"M415.34T1132.34",415.3423,1132.34,""
"M707.46T1132.6",707.4579,1132.6,""
"M511.3T1137.29",511.3033,1137.29,""
"M581.37T1153.59",581.3668,1153.59,""
"M282.14T1145.42",282.1367,1145.42,""
"M555.36T1151.77",555.3583,1151.77,""
"M278.18T1152.3",278.1836,1152.3,""
"M387.31T1159.58",387.3111,1159.58,""
"M409.29T1159.84",409.2935,1159.84,""
"M755.46T1159.83",755.4555,1159.83,""
"M413.32T1163.6",413.3241,1163.6,""
"M369.3T1166.6",369.298,1166.6,""
"M282.22T1185.24",282.2221,1185.24,""
"M287.19T1183.15",287.188,1183.15,""
"M583.38T1189.9",583.3816,1189.9,""
"M415.34T1190.29",415.3413,1190.29,""
"M559.13T1193.82",559.1303,1193.82,""
"M354.32T1200.38",354.3185,1200.38,""
"M257.25T1211.04",257.2478,1211.04,""
"M757.47T1212.99",757.4701,1212.99,""
"M705.51T1214.43",705.5122,1214.43,""
"M661.49T1220.54",661.4856,1220.54,""
"M617.46T1226.29",617.4587,1226.29,""
"M573.43T1232.94",573.4323,1232.94,""
"M354.32T1236.97",354.3178,1236.97,""
"M529.41T1240.64",529.4065,1240.64,""
"M283.22T1239.08",283.2167,1239.08,""
"M485.38T1248.74",485.381,1248.74,""
"M123.09T1250.04",123.0917,1250.04,""
"M284.29T1262.26",284.2949,1262.26,""
"M441.36T1259.15",441.3555,1259.15,""
"M633.15T1261.75",633.1491,1261.75,""
"M532.36T1262.01",532.3577,1262.01,""
"M397.33T1269.79",397.3293,1269.79,""
"M488.33T1270.83",488.3318,1270.83,""
"M136.11T1272.39",136.1118,1272.39,""
"M466.32T1274.46",466.3194,1274.46,""
"M122.1T1276.28",122.0965,1276.28,""
"M865.62T1277.85",865.6232,1277.85,""
"M353.3T1282.53",353.3029,1282.53,""
"M821.6T1283.04",821.5964,1283.04,""
"M353.29T1284.86",353.2862,1284.86,""
"M325.07T1285.12",325.0679,1285.12,""
"M777.57T1286.67",777.5715,1286.67,""
"M609.34T1288.22",609.3412,1288.22,""
"M733.54T1292.1",733.5447,1292.1,""
"M413.27T1297.03",413.2671,1297.03,""
"M393.3T1294.68",393.2979,1294.68,""
"M149.02T1295.98",149.0235,1295.98,""
"M391.29T1297.28",391.285,1297.28,""
"M689.52T1298.05",689.518,1298.05,""
"M645.49T1301.45",645.4914,1301.45,""
"M601.46T1307.16",601.4649,1307.16,""
"M144.98T1409.56",144.9824,1409.56,""
"M265.96T1330.45",265.963,1330.45,""
"M557.44T1313.67",557.4387,1313.67,""
"M146.98T1316.52",146.9808,1316.52,""
"M513.41T1320.44",513.4136,1320.44,""
"M469.39T1328.01",469.3872,1328.01,""
"M284.3T1328.91",284.2958,1328.91,""
"M324.33T1331.38",324.327,1331.38,""
"M311.25T1335.27",311.2494,1335.27,""
"M542.42T1359.88",542.4209,1359.88,""
"M338.34T1339.43",338.3423,1339.43,""
"M425.36T1338.38",425.3602,1338.38,""
"M502.35T1343.85",502.3487,1343.85,""
"M121.97T1381.09",121.9663,1381.09,""
"M146.98T1381.23",146.9807,1381.23,""
"M394.35T1366.24",394.3475,1366.24,""
"M122.1T1374.68",122.0965,1374.68,""
"M136.11T1448.2",136.1123,1448.2,""
"M133.96T1397.35",133.9596,1397.35,""
"M122.1T1460.79",122.0966,1460.79,""
"M123.09T1417.81",123.0921,1417.81,""
"M146.98T1450.82",146.9805,1450.82,""
"M469.38T1466.95",469.3779,1466.95,""
"M121.97T1468.13",121.9661,1468.13,""
